===================
solver, cost, time, n_exp, n_gen, map_file, scen_file, agents_limit, conflict_bound, success 
MetaAgCBSWithCBS, -, 302.72, 32, 46, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 15, 5, timeout
MetaAgCBSWithCBS, 2185, 121.906, 58, 109, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 15, 10, success
MetaAgCBSWithCBS, 3116, 21.257, 279, 556, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 15, 100, success
CBSSolver, -, 302.46, 73, 120, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 20, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3921, 45.127, 44, 85, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 20, 5, success
MetaAgCBSWithCBS, 3923, 68.556, 73, 143, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 20, 10, success
MetaAgCBSWithCBS, 3923, 50.719, 583, 1163, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 20, 100, success
CBSSolver, -, 304.51, 171, 287, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 25, 1, Fail:object of type 'int' has no len()
